#CellList
#Coordinate Time=0.0
#Id(1) x(2) Volume(3) S(4) D(5) E(6) 3-Vel(7) rho0(8) eps(9) p(10) left(12) right(13) 
244 -0.2083125 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 244 245
245 -0.2079375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 245 246
246 -0.20756249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 246 247
247 -0.20718749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 247 248
248 -0.2068125 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 248 249
249 -0.2064375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 249 250
250 -0.20606249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 250 251
251 -0.20568749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 251 252
252 -0.2053125 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 252 253
253 -0.2049375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 253 254
254 -0.20456249999999998 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 254 255
255 -0.20418749999999997 3.7499999999998646E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 255 256
